Gryoscope_X,Gryoscope_Y,Gryoscope_Z
0.707535191,0.683953447,0.532553775
0.813001437,0.678564532,0.51518224
0.909954889,0.712457521,0.452814473
1.005453928,0.784154577,0.344212366
1.093744142,0.886212511,0.194572283
1.14615999,1.01412092,0.021413544
1.180384739,1.136682017,-0.162890779
1.159324272,1.232907636,-0.324122803
1.101345642,1.327221854,-0.469456034
1.045771821,1.356911881,-0.583061712
0.992036922,1.33858083,-0.648382382
0.969857617,1.316921575,-0.66858192
0.963924093,1.265953405,-0.661227064
0.958620412,1.197034342,-0.630248384
0.949498816,1.127693279,-0.590894596
0.94111119,1.055683596,-0.545319931
0.926366849,1.005800469,-0.526984589
0.908455534,0.968364401,-0.508465247
0.881763203,0.929831905,-0.478838371
0.841918035,0.907049341,-0.444270538
0.790872676,0.808549924,-0.409230249
0.709696097,0.680259628,-0.37811123
0.626338585,0.557320399,-0.350641237
0.557888193,0.412585301,-0.333284365
0.495059682,0.259591771,-0.322133438
0.43764831,0.137858404,-0.324280994
0.371002181,0.056835184,-0.33537467
0.278540952,0.023760855,-0.349768268
0.169781445,0.04940177,-0.37659906
0.055721717,0.088988064,-0.420410203
-0.065860377,0.143661155,-0.460683869
-0.18984917,0.153067706,-0.466103392
-0.335589336,0.085925428,-0.420532452
-0.507544057,-0.030465633,-0.337701486
-0.694212215,-0.215475695,-0.242785888
-0.889446394,-0.443928318,-0.150967019
-1.074231164,-0.639234679,-0.087297225
-1.22121443,-0.832293348,-0.062219566
-1.345824854,-1.004062192,-0.067721391
-1.429945366,-1.098916309,-0.090987565
-1.458759921,-1.142530577,-0.143517883
-1.442053931,-1.147503035,-0.216939108
-1.404661314,-1.107580559,-0.307811754
-1.365785258,-1.042005556,-0.393365549
-1.315227764,-0.964058297,-0.484126853
-1.253401415,-0.907570021,-0.580505626
-1.180529849,-0.912401276,-0.683850603
-1.143066661,-0.95465924,-0.773697452
-1.143226759,-0.975457685,-0.825837569
-1.160859244,-0.989133315,-0.817698734
-1.15735163,-0.996483104,-0.762649016
-1.098977225,-1.030451672,-0.67571147
-1.010087268,-1.09071316,-0.551416414
-0.894444899,-1.165658848,-0.427216457
-0.755582588,-1.257844703,-0.341969715
-0.613922434,-1.302703755,-0.316693919
