Acceleration_X,Acceleration_Y,Acceleration_Z
-0.4821014404296875,-0.7215118408203125,-0.5643463134765625
-0.5168304443359375,-0.7178497314453125,-0.544464111328125
-0.525115966796875,-0.7265625,-0.5356292724609375
-0.529693603515625,-0.762542724609375,-0.5262603759765625
-0.521240234375,-0.7911376953125,-0.5355987548828125
-0.5243988037109375,-0.8217926025390625,-0.5569305419921875
-0.5345916748046875,-0.8569793701171875,-0.545257568359375
-0.548095703125,-0.8682708740234375,-0.54522705078125
-0.5765533447265625,-0.884857177734375,-0.5858306884765625
-0.6055755615234375,-0.9218902587890625,-0.58905029296875
-0.633697509765625,-0.96624755859375,-0.6098175048828125
-0.6621551513671875,-0.9994964599609375,-0.6318359375
-0.70452880859375,-1.00872802734375,-0.6347808837890625
-0.7756195068359375,-1.0147247314453125,-0.670654296875
-0.8233184814453125,-1.0316162109375,-0.7047882080078125
-0.8253631591796875,-1.053741455078125,-0.721038818359375
-0.830047607421875,-1.0479736328125,-0.75048828125
-0.84527587890625,-1.0403289794921875,-0.77484130859375
-0.8486175537109375,-1.031982421875,-0.7846221923828125
-0.824005126953125,-1.0172271728515625,-0.7806243896484375
-0.8023529052734375,-1.0041961669921875,-0.7888641357421875
-0.8047027587890625,-0.9954833984375,-0.78289794921875
-0.820220947265625,-1.000274658203125,-0.776947021484375
-0.8250579833984375,-1.0034942626953125,-0.7581634521484375
-0.825225830078125,-1.0008697509765625,-0.717681884765625
-0.8215484619140625,-0.9806671142578125,-0.6792144775390625
-0.7957763671875,-0.9613189697265625,-0.6463165283203125
-0.7413787841796875,-0.9469757080078125,-0.6112823486328125
-0.6761322021484375,-0.92938232421875,-0.589935302734375
-0.647003173828125,-0.904022216796875,-0.5804290771484375
-0.63043212890625,-0.8794097900390625,-0.5702972412109375
-0.6165771484375,-0.867340087890625,-0.552703857421875
-0.610626220703125,-0.870391845703125,-0.5256500244140625
-0.60052490234375,-0.8681488037109375,-0.494903564453125
-0.5793304443359375,-0.8487548828125,-0.4485015869140625
-0.5482635498046875,-0.8394775390625,-0.4336700439453125
-0.5063934326171875,-0.8350677490234375,-0.4022369384765625
-0.4626922607421875,-0.821014404296875,-0.37652587890625
-0.4324188232421875,-0.8165130615234375,-0.3768463134765625
-0.4352264404296875,-0.8138885498046875,-0.3657379150390625
-0.4403533935546875,-0.802703857421875,-0.34564208984375
-0.425201416015625,-0.7942047119140625,-0.312896728515625
-0.405853271484375,-0.78106689453125,-0.285400390625
-0.371185302734375,-0.7606353759765625,-0.24383544921875
-0.3141326904296875,-0.7504119873046875,-0.2180023193359375
-0.26727294921875,-0.7463226318359375,-0.190216064453125
-0.231536865234375,-0.7203216552734375,-0.13946533203125
