Gryoscope_X,Gryoscope_Y,Gryoscope_Z
0.4982268214225769,-0.03779291734099388,0.13710032403469086
0.34843307733535767,-0.03707919269800186,0.21479885280132294
0.24634745717048645,-0.017175525426864624,0.2457980513572693
0.22618360817432404,0.02666223794221878,0.2891668379306793
0.2674005329608917,0.022045381367206573,0.3441608250141144
0.33896979689598083,-0.0057132793590426445,0.3537335693836212
0.39136457443237305,0.0011102718999609351,0.3054070472717285
0.4015447795391083,0.05570746958255768,0.26356878876686096
0.37624606490135193,0.134806290268898,0.25538304448127747
0.31138983368873596,0.1705102175474167,0.2753436863422394
0.23635581135749817,0.12417787313461304,0.3010543882846832
0.16579562425613403,0.06757292151451111,0.322776198387146
0.12229102104902267,0.04742290824651718,0.32532644271850586
0.12060044705867767,0.0720939040184021,0.2948201894760132
0.15017032623291016,0.07298605889081955,0.2647179365158081
0.1983056366443634,0.0111032510176301,0.24620231986045837
0.22497771680355072,-0.02328827790915966,0.22889523208141327
0.23813587427139282,0.0023403859231621027,0.21951930224895477
0.23788020014762878,0.05423580855131149,0.23308464884757996
0.233621284365654,0.10843539983034134,0.25477927923202515
0.2235095202922821,0.09819793701171875,0.27579936385154724
0.21670754253864288,0.05868834629654884,0.2876291275024414
0.21994701027870178,0.05301634594798088,0.3071993589401245
0.21994701027870178,0.05301634594798088,0.3071993589401245
0.22160190343856812,0.03855857625603676,0.3205902576446533
0.22562114894390106,-0.06764855235815048,0.31185615062713623
0.22562114894390106,-0.06764855235815048,0.31185615062713623
0.13589312136173248,-0.02027304656803608,0.3075290620326996
0.13589312136173248,-0.02027304656803608,0.3075290620326996
0.10352319478988647,-0.033002689480781555,0.3334285616874695
0.07271042466163635,-0.0636330395936966,0.38676103949546814
0.05943483114242554,-0.07942931354045868,0.4616411328315735
0.047390952706336975,-0.11456732451915741,0.5566856265068054
0.057008691132068634,-0.16582731902599335,0.6730703115463257
0.06641737371683121,-0.22981561720371246,0.7880765199661255
0.06209266558289528,-0.25820091366767883,0.8477651476860046
0.05387201905250549,-0.2617722153663635,0.8857186436653137
0.06455076485872269,-0.2660159766674042,0.932257354259491
