Acceleration_X,Acceleration_Y,Acceleration_Z
0.089974268,-0.964072363,-0.379920142
0.094109399,-0.949164526,-0.371237891
0.096840723,-0.944312231,-0.375220435
0.098442896,-0.949988501,-0.36897959
0.10002981,-0.951331274,-0.372687476
0.099282129,-0.951300757,-0.371695654
0.095925195,-0.951056616,-0.372702734
0.094246729,-0.951117651,-0.370978491
0.093605859,-0.947165625,-0.372687476
0.092171533,-0.941977637,-0.370825903
0.090355737,-0.93361582,-0.367407935
0.089379175,-0.92227854,-0.36217417
0.087899072,-0.911276953,-0.358039038
0.083947046,-0.89720835,-0.352393286
0.082650049,-0.88082041,-0.339560645
0.082772119,-0.865775244,-0.329871313
0.08251272,-0.854193823,-0.318411963
0.083947046,-0.840323584,-0.307593481
0.082527979,-0.828818457,-0.294440405
0.079201563,-0.821463721,-0.282401221
0.077996118,-0.812979834,-0.272406714
0.077706201,-0.804343359,-0.263144629
0.07431875,-0.795920508,-0.255667822
0.074608667,-0.789771216,-0.250662939
0.073998315,-0.782111304,-0.253653662
0.0704125,-0.774756567,-0.250205176
0.071740015,-0.770636694,-0.246588843
0.071831567,-0.769980566,-0.247336523
0.070122583,-0.773642676,-0.246680396
0.070397241,-0.781623022,-0.245932715
0.072670801,-0.795111792,-0.247687476
0.076744897,-0.806250708,-0.25443186
0.078591211,-0.816992896,-0.25759043
0.078499658,-0.830023901,-0.268439429
0.077004297,-0.845450537,-0.2786323
0.074883325,-0.864615576,-0.285285132
0.074013574,-0.883521216,-0.296942847
0.075936182,-0.912650244,-0.312461035
0.077202661,-0.950080054,-0.33684458
0.080025537,-0.98995127,-0.359336035
0.082177026,-1.025382178,-0.379767554
0.081551416,-1.067237036,-0.411170142
0.07621084,-1.117804663,-0.449149268
0.073845728,-1.173071997,-0.478064673
0.071160181,-1.231284277,-0.507880347
0.064843042,-1.285132544,-0.541449683
0.056847437,-1.323325293,-0.566138403
0.044243677,-1.359763281,-0.586814063
0.036476953,-1.40401377,-0.602164404
0.037178857,-1.450400488,-0.614478247
0.049126489,-1.490256445,-0.62679209
0.067787988,-1.528464453,-0.633978979
0.083382471,-1.555319922,-0.638861792
0.093895776,-1.558920996,-0.647620337
0.095452173,-1.555930273,-0.658026831
0.089501245,-1.5442573,-0.667792456
0.079583032,-1.528586523,-0.677024023
0.062844141,-1.516181128,-0.679251807
0.045357568,-1.501135962,-0.676444189
0.031136377,-1.477713721,-0.669562476
0.024117334,-1.448157446,-0.651511328
0.014763696,-1.409461157,-0.63889231
0.00400625,-1.356696265,-0.62061228
-0.006308691,-1.301749365,-0.602255957
-0.00759043,-1.241873877,-0.579932349
-0.014166968,-1.176901953,-0.55269541
-0.020529883,-1.10285105,-0.522925513
-0.020774023,-1.03795542,-0.487891333
-0.026343481,-0.971701758,-0.456656592
-0.032080786,-0.897483008,-0.419135229
-0.041052954,-0.830023901,-0.378058569
-0.044959204,-0.76540293,-0.340323584
-0.045279639,-0.710364478,-0.308722632
-0.050437109,-0.654975073,-0.285880225
-0.063635962,-0.604697363,-0.259009497
-0.079733984,-0.559958594,-0.240103857
-0.092291968,-0.521582739,-0.218817847
-0.095053809,-0.487540381,-0.198645728
-0.084097998,-0.44370188,-0.184439795
-0.068472998,-0.396170752,-0.175437109
-0.052878516,-0.355551855,-0.153449194
-0.022681372,-0.322470801,-0.12439646
0.011620386,-0.304068701,-0.112097876
0.035424097,-0.297095435,-0.097602026
0.049980981,-0.28682627,-0.087699072
0.061287744,-0.267386572,-0.075797217
0.062249048,-0.261130469,-0.069556372
0.055367334,-0.271918433,-0.059256689
0.047829492,-0.275992529,-0.052893774
0.041848047,-0.274832861,-0.045111792
0.040413721,-0.271033423,-0.037711279
0.04345022,-0.264548438,-0.023902075
0.047188623,-0.259192603,-0.019477026
0.054940088,-0.266867773,-0.005896704
0.06209646,-0.286902563,0.014626367
